word;semantic field;iconicity pattern;expression pattern / phonetics(?);non iconic;languages
bicycle;transport;assoc_action;object;;Russian Sign Language
bicycle;transport;-;-;nonicon;French Sign Language
bicycle;transport;assoc_action;object;;American Sign Language
bicycle;transport;assoc_action;object;;British Sign Language
bicycle;transport;assoc_action;object;;Spanish Sign Language
bicycle;transport;assoc_action;object;;Italian Sign Language
bicycle;transport;assoc_action;object;;German Sign Language
bicycle;transport;parts/wholes+assoc_acion;object;;Polish Sign Language
bicycle;transport;parts/wholes+assoc_acion;object;;Polish Sign Language
bicycle;transport;assoc_action;object;;Brazilian Sign Language
bicycle;transport;assoc_action;object;;Turkish Sign Language
bicycle;transport;assoc_action;object;;Portuguese Sign Language
bicycle;transport;assoc_action;object;;Czech Sign Language
bicycle;transport;assoc_action;object;;Lithuanian Sign Language
bicycle;transport;assoc_action;handling;;Swedish Sign Language
bicycle;transport;assoc_action;object;;Latvian Sign Language
bicycle;transport;assoc_action;object;;Estonian Sign Language
bicycle;transport;assoc_action;object;;Icelandic Sign Language
truck;transport;form_similarity&form_similarity&assoc_action;contour&tracing&contour;;Russian Sign Language
truck;transport;assoc_action&form_similarity;handling&tracing;;French Sign Language
truck;transport;-;-;nonicon;American Sign Language
truck;transport;assoc_action;handling;;British Sign Language
truck;transport;assoc_action;contour;;Spanish Sign Language
truck;transport;assoc_action&form_similarity;handling&tracing;;Italian Sign Language
truck;transport;assoc_action&form_similarity;handling&tracing;;German Sign Language
truck;transport;form_similarity;tracing;;Polish Sign Language
truck;transport;assoc_action;handling;;Polish Sign Language
truck;transport;-;-;nonicon;Turkish Sign Language
truck;transport;-;-;nonicon;Turkish Sign Language
truck;transport;assoc_action&-;handling&-;&deixis;Portuguese Sign Language
truck;transport;assoc_action;handling;;Czech Sign Language
truck;transport;-&form_similarity;-&tracing;;Lithuanian Sign Language
truck;transport;form_similarity;tracing;;Swedish Sign Language
truck;transport;assoc_action&form_similarity;handling&contour;;Greek Sign Language
truck;transport;assoc_action&form_similarity;handling&tracing;;Romanian Sign Language
truck;transport;assoc_action&form_similarity;handling&tracing;;Latvian Sign Language
truck;transport;form_similarity;object;;Estonian Sign Language
boat;transport;assoc_action;object;;Russian Sign Language
boat;transport;assoc_action;object;;French Sign Language
boat;transport;assoc_action;object;;American Sign Language
boat;transport;assoc_action;object;;British Sign Language
boat;transport;assoc_action;object;;Spanish Sign Language
boat;transport;assoc_action;object;;Italian Sign Language
boat;transport;assoc_action;object;;German Sign Language
boat;transport;assoc_action;object;;Brazilian Sign Language
boat;transport;?;?;?;Turkish Sign Language
boat;transport;assoc_action;object;;Portuguese Sign Language
boat;transport;assoc_action;object;;Czech Sign Language
boat;transport;assoc_action&assoc_action;object&handling;;Lithuanian Sign Language
boat;transport;assoc_action;object;;Swedish Sign Language
boat;transport;assoc_action&assoc_action;object&object;;Romanian Sign Language
boat;transport;assoc_action;object;;Romanian Sign Language
boat;transport;assoc_action;object;;Latvian Sign Language
boat;transport;assoc_action;object;;Estonian Sign Language
boat;transport;form_similarity;object;;Icelandic Sign Language
tie;clothes;form_similarity;tracing;;Russian Sign Language
tie;clothes;form_similarity;tracing;;French Sign Language
tie;clothes;assoc_action;handling;;American Sign Language
tie;clothes;form_similarity;tracing;;British Sign Language
tie;clothes;form_similarity;tracing;;Spanish Sign Language
tie;clothes;form_similarity;object;;Italian Sign Language
tie;clothes;assoc_action;handling;;German Sign Language
tie;clothes;form_similarity;tracing;;Polish Sign Language
tie;clothes;form_similarity;tracing;;Brazilian Sign Language
tie;clothes;form_similarity;tracing;;Turkish Sign Language
tie;clothes;assoc_action;handling;;Portuguese Sign Language
tie;clothes;form_similarity;contour;;Czech Sign Language
tie;clothes;assoc_action;handling;;Lithuanian Sign Language
tie;clothes;assoc_action;handling;;Romanian Sign Language
tie;clothes;form_similarity;tracing;;Latvian Sign Language
tie;clothes;assoc_action;handling;;Estonian Sign Language
tie;clothes;form_similarity;tracing;;Icelandic Sign Language
hat;clothes;assoc_action;?;;Russian Sign Language
hat;clothes;-;-;deixis;French Sign Language
hat;clothes;-;-;deixis;American Sign Language
hat;clothes;assoc_action;handling;;British Sign Language
hat;clothes;assoc_action;handling;;Spanish Sign Language
hat;clothes;assoc_action;handling;;Italian Sign Language
hat;clothes;assoc_action;handling;;German Sign Language
hat;clothes;-&form_similarity;-&tracing;deixis&;Polish Sign Language
hat;clothes;assoc_action;handling;;Brazilian Sign Language
hat;clothes;assoc_action;handling;;Turkish Sign Language
hat;clothes;assoc_action;handling;;Portuguese Sign Language
hat;clothes;assoc_action;handling;;Czech Sign Language
hat;clothes;-;-;deixis;Lithuanian Sign Language
hat;clothes;-;-;deixis;Swedish Sign Language
hat;clothes;-;-;deixis;Latvian Sign Language
hat;clothes;-;-;deixis;Estonian Sign Language
hat;clothes;-&assoc_action;-&handling;deixis&;Icelandic Sign Language
socks;clothes;form_similarity;?;;Russian Sign Language
socks;clothes;assoc_action;handling;;French Sign Language
socks;clothes;-;-;nonicon;American Sign Language
socks;clothes;assoc_action;handling;;British Sign Language
socks;clothes;form_similarity;?;;Spanish Sign Language
socks;clothes;assoc_action;handling;;Italian Sign Language
socks;clothes;assoc_action;handling;;German Sign Language
socks;clothes;form_similarity;?;;Polish Sign Language
socks;clothes;assoc_action;handling;;Turkish Sign Language
socks;clothes;-;-;nonicon;Portuguese Sign Language
socks;clothes;form_similarity;?;;Czech Sign Language
socks;clothes;form_similarity;?;;Lithuanian Sign Language
socks;clothes;assoc_action;handling;;Swedish Sign Language
socks;clothes;form_similarity;?;;Romanian Sign Language
socks;clothes;form_similarity;?;;Latvian Sign Language
socks;clothes;form_similarity;?;;Estonian Sign Language
socks;clothes;form_similarity;?;;Icelandic Sign Language
elephant;animals;parts/wholes;tracing;;Russian Sign Language
elephant;animals;parts/wholes;object;;French Sign Language
elephant;animals;parts/wholes;object+tracing;;American Sign Language
elephant;animals;parts/wholes;tracing;;British Sign Language
elephant;animals;parts/wholes;object+tracing;;Spanish Sign Language
elephant;animals;parts/wholes;tracing;;Italian Sign Language
elephant;animals;parts/wholes;tracing;;German Sign Language
elephant;animals;parts/wholes;tracing;;Polish Sign Language
elephant;animals;parts/wholes;object;;Brazilian Sign Language
elephant;animals;parts/wholes;tracing;;Turkish Sign Language
elephant;animals;parts/wholes;tracing;;Turkish Sign Language
elephant;animals;parts/wholes;tracing;;Portuguese Sign Language
elephant;animals;parts/wholes;tracing;;Czech Sign Language
elephant;animals;parts/wholes;tracing;;Lithuanian Sign Language
elephant;animals;parts/wholes;tracing;;Swedish Sign Language
elephant;animals;parts/wholes;tracing;;Romanian Sign Language
elephant;animals;parts/wholes;tracing;;Latvian Sign Language
elephant;animals;parts/wholes;tracing;;Estonian Sign Language
elephant;animals;parts/wholes;tracing;;Icelandic Sign Language
cat;animals;parts/wholes;object;;Russian Sign Language
cat;animals;parts/wholes;object;;French Sign Language
cat;animals;parts/wholes;tracing;;American Sign Language
cat;animals;parts/wholes;tracing;;British Sign Language
cat;animals;assoc_action;object;;Spanish Sign Language
cat;animals;assoc_action;object+tracing;;Italian Sign Language
cat;animals;parts/wholes;tracing;;Italian Sign Language
cat;animals;parts/wholes;tracing;;Italian Sign Language
cat;animals;parts/wholes;tracing;;German Sign Language
cat;animals;parts/wholes;tracing;;Polish Sign Language
cat;animals;parts/wholes;tracing;;Polish Sign Language
cat;animals;parts/wholes;tracing;;Brazilian Sign Language
cat;animals;assoc_action;object;;Turkish Sign Language
cat;animals;assoc_action;object;;Portuguese Sign Language
cat;animals;parts/wholes;tracing;;Czech Sign Language
cat;animals;parts/wholes;tracing;;Lithuanian Sign Language
cat;animals;parts/wholes;tracing;;Swedish Sign Language
cat;animals;parts/wholes;tracing;;Romanian Sign Language
cat;animals;assoc_action;object;;Romanian Sign Language
cat;animals;parts/wholes;tracing;;Latvian Sign Language
cat;animals;assoc_action;object;;Latvian Sign Language
cat;animals;assoc_action;object;;Estonian Sign Language
cat;animals;parts/wholes;tracing;;Icelandic Sign Language
giraffe;animals;parts/wholes;tracing;;Russian Sign Language
giraffe;animals;parts/wholes;tracing;;French Sign Language
giraffe;animals;-;-;dactyl;American Sign Language
giraffe;animals;parts/wholes;tracing;;British Sign Language
giraffe;animals;form_similarity;object;;Spanish Sign Language
giraffe;animals;parts/wholes;tracing;;Italian Sign Language
giraffe;animals;parts/wholes;tracing;;German Sign Language
giraffe;animals;parts/wholes;tracing;;Polish Sign Language
giraffe;animals;parts/wholes;tracing;;Brazilian Sign Language
giraffe;animals;form_similarity;object;;Turkish Sign Language
giraffe;animals;parts/wholes&form_similarity;tracing&object;;Turkish Sign Language
giraffe;animals;parts/wholes;tracing;;Portuguese Sign Language
giraffe;animals;parts/wholes;tracing;;Czech Sign Language
giraffe;animals;parts/wholes;tracing;;Lithuanian Sign Language
giraffe;animals;parts/wholes;tracing;;Swedish Sign Language
giraffe;animals;-;-;dactyl;Romanian Sign Language
giraffe;animals;parts/wholes;tracing;;Latvian Sign Language
giraffe;animals;parts/wholes;tracing;;Estonian Sign Language
